Instructor,Department,University,rating_value,num_ratings,would_take_again,level_of_difficulty,normalized_rating_value,normalized_num_ratings,score
Mark Rush ,Economics department,University of Florida,5.0,697.0,0.94,3.0,1.0,1.0,0.98
Oliver Grundmann ,Pharmaceutical Sciences department,University of Florida,5.0,361.0,1.0,3.4,1.0,0.52,0.86
Richard Lutz ,Marketing department,University of Florida,5.0,256.0,1.0,3.4,1.0,0.37,0.81
David Knight ,Economics department,University of Florida,5.3,232.0,0.94,4.0,1.06,0.33,0.81
Maria Korolev ,Chemistry department,University of Florida,5.0,233.0,0.99,4.6,1.0,0.33,0.8
Megan Mocko ,Statistics department,University of Florida,4.5,356.0,0.88,3.0,0.9,0.51,0.78
Shu-Jen Huang ,Mathematics department,University of Florida,5.0,242.0,0.91,4.5,1.0,0.35,0.78
Kwai-Lee Chui ,Mathematics department,University of Florida,4.8,253.0,0.92,3.4,0.96,0.36,0.77
Steven Noll ,History department,University of Florida,5.0,187.0,0.93,3.0,1.0,0.27,0.76
Stephanie Stine ,Statistics department,University of Florida,5.0,144.0,0.98,2.8,1.0,0.21,0.76
Maria Ripol ,Statistics department,University of Florida,4.3,441.0,0.66,3.8,0.86,0.63,0.73
Carolyn Kelley ,Women department,University of Florida,5.0,87.0,0.98,2.8,1.0,0.12,0.73
Andrew Nichols ,Classics department,University of Florida,5.0,115.0,0.93,2.9,1.0,0.16,0.73
Soohyoun Ahn ,Food Science department,University of Florida,5.0,65.0,1.0,3.5,1.0,0.09,0.73
Amanpreet Kapoor ,Computer Science department,University of Florida,5.0,61.0,1.0,3.6,1.0,0.09,0.73
Quinn Mccoy Hansen ,Languages department,University of Florida,5.0,50.0,1.0,2.9,1.0,0.07,0.72
Jennifer Coenen ,Languages department,University of Florida,5.0,49.0,1.0,2.8,1.0,0.07,0.72
Stephen Adams ,Mathematics department,University of Florida,5.0,55.0,0.99,3.4,1.0,0.08,0.72
James Bonczek ,Agriculture department,University of Florida,4.9,136.0,0.9,2.1,0.98,0.2,0.72
Alison Reynolds ,English department,University of Florida,5.0,42.0,1.0,3.3,1.0,0.06,0.72
Selman Hershfield ,Physics department,University of Florida,5.0,42.0,1.0,3.5,1.0,0.06,0.72
John Streese ,Mathematics department,University of Florida,5.0,40.0,1.0,2.6,1.0,0.06,0.72
Anita Marshall ,Geology department,University of Florida,5.0,40.0,1.0,2.3,1.0,0.06,0.72
Kate Fletcher ,Community Studies department,University of Florida,4.9,54.0,1.0,2.3,0.98,0.08,0.72
Sean Adams ,History department,University of Florida,5.0,35.0,1.0,3.0,1.0,0.05,0.72
James Goodwin ,Languages department,University of Florida,5.0,35.0,1.0,2.8,1.0,0.05,0.72
Bernard O'Donnell ,English department,University of Florida,5.0,90.0,0.92,4.1,1.0,0.13,0.71
Amber Emanuel ,Health  Human Performance department,University of Florida,5.0,52.0,0.97,2.3,1.0,0.07,0.71
Max Adolphs ,Health & Human Performance department,University of Florida,5.0,29.0,1.0,3.0,1.0,0.04,0.71
Ingrid Kleespies ,Languages department,University of Florida,5.0,29.0,1.0,2.1,1.0,0.04,0.71
Victor Jordan ,Languages department,University of Florida,5.0,28.0,1.0,3.0,1.0,0.04,0.71
George Christou ,Chemistry department,University of Florida,4.9,66.0,0.97,3.3,0.98,0.09,0.71
Paul Robinson ,Mathematics department,University of Florida,5.0,25.0,1.0,2.8,1.0,0.04,0.71
Emrah Sahin ,History department,University of Florida,5.0,25.0,1.0,3.5,1.0,0.04,0.71
Josh Higdon ,Languages department,University of Florida,5.0,24.0,1.0,2.5,1.0,0.03,0.71
Oscar Prieto ,Anthropology department,University of Florida,5.1,5.0,1.0,2.6,1.02,0.01,0.71
Joel Davis ,Information Systems & Operations Management department,University of Florida,5.0,21.0,1.0,2.5,1.0,0.03,0.71
Eric Kligerman ,Languages department,University of Florida,5.0,55.0,0.95,3.4,1.0,0.08,0.71
Brian Odegaard ,Psychology department,University of Florida,5.0,20.0,1.0,3.1,1.0,0.03,0.71
Sean Trainor ,History department,University of Florida,5.0,20.0,1.0,2.4,1.0,0.03,0.71
Kristian Estevez ,Economics department,University of Florida,5.0,20.0,1.0,3.0,1.0,0.03,0.71
Jason Scheffler ,Animal Science department,University of Florida,5.0,18.0,1.0,2.8,1.0,0.03,0.71
John Conklin ,Engineering department,University of Florida,5.0,18.0,1.0,3.3,1.0,0.03,0.71
Jenna Gonzalez ,Education department,University of Florida,5.0,18.0,1.0,1.1,1.0,0.03,0.71
Pamela Dickrell ,Engineering department,University of Florida,5.0,18.0,1.0,2.1,1.0,0.03,0.71
Geoff Thompson ,Communication department,University of Florida,5.0,17.0,1.0,1.3,1.0,0.02,0.71
Kenneth Kidd ,English department,University of Florida,5.0,17.0,1.0,2.6,1.0,0.02,0.71
Hilary Coulson ,Women's Studies department,University of Florida,5.0,17.0,1.0,1.9,1.0,0.02,0.71
Han XU ,Asian Languages & Literatures department,University of Florida,5.0,16.0,1.0,3.0,1.0,0.02,0.71
Emily Bald ,Writing department,University of Florida,5.0,16.0,1.0,2.6,1.0,0.02,0.71
Regan Garner ,Education department,University of Florida,5.0,15.0,1.0,1.8,1.0,0.02,0.71
Danielle VanTuinen ,Women's Studies department,University of Florida,5.0,15.0,1.0,1.4,1.0,0.02,0.71
Derek Hunt ,Medicine department,University of Florida,5.0,14.0,1.0,2.4,1.0,0.02,0.71
Demetra Christou ,Health Science department,University of Florida,5.0,14.0,1.0,3.0,1.0,0.02,0.71
Charles Pickeral ,Art department,University of Florida,5.0,14.0,1.0,2.3,1.0,0.02,0.71
Zea Miller ,English department,University of Florida,5.0,13.0,1.0,1.9,1.0,0.02,0.71
Giulio Ronzoni ,Hospitality department,University of Florida,5.0,13.0,1.0,2.6,1.0,0.02,0.71
Erin Prophet ,Religion department,University of Florida,5.0,13.0,1.0,3.0,1.0,0.02,0.71
Anthony Manganaro ,English department,University of Florida,5.0,13.0,1.0,2.5,1.0,0.02,0.71
Dan Windels ,Communication department,University of Florida,5.0,12.0,1.0,2.4,1.0,0.02,0.71
